Creation Time: 2023_6_14-16-13-9
16-13-9 | [INFO] TraderPlusCore - Started !
16-13-9 | [INFO] TraderPlus file exist ! loading...
16-13-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusGeneralConfig.json
16-13-9 | [INFO] TraderPlusJsonLoader::SaveToFile Complete: $profile:TraderPlus\TraderPlusConfig\TraderPlusGeneralConfig.json
16-13-9 | [INFO] TraderPlus file exist ! loading...
16-13-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusVehiclesConfig.json
16-13-9 | [INFO] TraderPlusJsonLoader::SaveToFile Complete: $profile:TraderPlus\TraderPlusConfig\TraderPlusVehiclesConfig.json
16-13-9 | [INFO] TraderPlus file exist ! loading...
16-13-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusInsuranceConfig.json
16-13-9 | [INFO] TraderPlusJsonLoader::SaveToFile Complete: $profile:TraderPlus\TraderPlusConfig\TraderPlusInsuranceConfig.json
16-13-9 | [INFO] TraderPlusServer - Started
16-13-9 | [INFO] TraderPlusBankingCore - Started !
16-13-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusBankingConfig.json
16-13-9 | [INFO] TraderPlusBankingServer - Started
16-13-9 | [INFO] CarLockCore - Started !
16-13-9 | [INFO] CarLockServer - Started
16-13-9 | [INFO] SafeZoneCore - Started !
16-13-9 | [INFO] DEBUG MODE ENABLED
16-13-56 | [INFO] ID_count: 0
16-13-56 | [INFO] SetTradersSpawner: Started
16-13-56 | [INFO] obj created: TraderPlusSign
16-13-56 | [INFO] TraderStatic created and added!: 
16-13-56 | [INFO] obj created: TraderPlusSign
16-13-56 | [INFO] TraderStatic created and added!: 
16-13-56 | [INFO] obj created: TraderPlusSign
16-13-56 | [INFO] TraderStatic created and added!: 
16-13-56 | [INFO] obj created: TraderPlusSign
16-13-56 | [INFO] TraderStatic created and added!: 
16-13-56 | [INFO] obj created: TraderPlusSign
16-13-56 | [INFO] TraderStatic created and added!: 
16-13-56 | [INFO] SetTradersSpawner: Ended
16-13-56 | [INFO] SetObjectSpawner: Started
16-13-56 | [INFO] obj was not created: bldr_Misc_RoadBarrier please make sure the syntaxe is correct!
16-13-56 | [INFO] obj was not created: bldr_Wall_Barricade1_10 please make sure the syntaxe is correct!
16-13-56 | [INFO] obj was not created: bldr_Wall_Barricade1_4 please make sure the syntaxe is correct!
16-13-56 | [INFO] obj was not created: bldr_Misc_Barricade please make sure the syntaxe is correct!
16-13-56 | [INFO] obj was not created: bldr_Wall_Barricade1_4 please make sure the syntaxe is correct!
16-13-56 | [INFO] obj was not created: bldr_Wall_Barricade1_10 please make sure the syntaxe is correct!
16-13-56 | [INFO] obj was not created: bldr_Wall_Barricade1_4 please make sure the syntaxe is correct!
16-13-56 | [INFO] obj was not created: bldr_hbarrier_4m please make sure the syntaxe is correct!
16-13-56 | [INFO] obj was not created: bldr_hbarrier_4m please make sure the syntaxe is correct!
16-13-56 | [INFO] obj was not created: bldr_hbarrier_4m please make sure the syntaxe is correct!
16-13-56 | [INFO] obj was not created: bldr_hbarrier_4m please make sure the syntaxe is correct!
16-13-56 | [INFO] SetObjectSpawner: Ended
16-13-56 | [INFO] DefaultTraderStock - Started
